Link,Furnishing
https://www.olx.pl/d/oferta/centrum-park-3-pokoje-60m2-2-tarasy-90m2-wysoki-standard-bezposre-CID3-ID16aMRr.html,yes
https://www.olx.pl/d/oferta/sprzedam-mieszkanie-55-29m2-ul-galenowa-os-podkarczowka-CID3-ID16x8YD.html,yes
https://www.olx.pl/d/oferta/mieszkanie-3-pokoje-ksm-64-2-m-idealne-dla-rodziny-szkola-sklepy-CID3-ID16fU1M.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/dwustronnefunkcjonalneduza-piwnicazalew-kieleckigaleria-echo-ID4xd8R.html,yes
https://www.olx.pl/d/oferta/sprzedam-mieszkanie-ul-gorna-20c-w-kielcach-CID3-ID13K9oE.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36-m-kielce-ul-kollataja-ID4xcM6.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/sprzedam-kawalerke-25-2-m2-kielce-ksm-ID4xgl2.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/generalny-remont-2-pokoje-kuchnia-prywatny-parking-ID4xaUH.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-ID4wbpS.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-mieszkanie-3-pokoje-wykonczone-z-meblami-ID4x8fN.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/generalny-remont-mieszkanie-2-pokojowe-na-4-pietrze-z-winda-ID4x8gG.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-4-pokojowe-mieszkanie-dwa-balkony-parking-ID4xcxm.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-ul-zamenhofa-kielce-ID4tmzM.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokoje-warszawska-swietna-lokalizacja-gotowe-do-zamieszkania-ID4vJmC.html,yes
https://www.olx.pl/d/oferta/okazja-mieszkanie-1-pokojowe-do-odswiezenia-23m-1-pietro-4-ul-lecha-CID3-ID16k26y.html,yes
https://www.olx.pl/d/oferta/centrum-2-pietro-jasne-i-cieple-po-generalnym-remoncie-CID3-ID16mzLd.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-patio-vita-59-39m2-ID4xa1q.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-po-remoncie-swietna-lokalizacja-kredyt-ID4vMvP.html,yes
https://www.olx.pl/d/oferta/mieszkanie-baranowek-43-92-m2-miejsce-parkingowe-komorka-blisko-las-CID3-ID16uHny.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-w-nowoczesnym-stylu-po-generalnym-remoncie-ID4x2jg.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokoje-po-generalnym-remoncie-ksm-48-m-ID4vVDL.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-balkonem-ID4x6Iw.html,yes
