Link,Elevator
https://www.olx.pl/d/oferta/piekny-apartament-premium-mokotow-sulkowicka-CID3-ID16rOv1.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-do-wynajecia-kabaty-CID3-ID16BL3T.html,yes
https://www.olx.pl/d/oferta/2-pokoje-harfowa-ochota-warszawa-bezposrednio-CID3-ID16CJGC.html,yes
https://www.olx.pl/d/oferta/zarezerwowane-mieszkanie-ul-cybernetyki-2-warszawa-na-wynajem-CID3-ID16AfsS.html,yes
https://www.olx.pl/d/oferta/apartament-40m2-z-wydzielona-czescia-sypialniana-bezposrednio-CID3-ID16BL5N.html,yes
https://www.olx.pl/d/oferta/apartament-studio-21m2-bezposrednio-przyjazne-zwierzetom-CID3-ID16BLUn.html,yes
https://www.olx.pl/d/oferta/dwupokojowe-mieszkanie-na-rakowieckiej-CID3-ID16pRBB.html,yes
https://www.olx.pl/d/oferta/kawalerka-przy-galerii-mokotow-CID3-ID16yTEF.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-warszawa-rownolegla-CID3-ID16sQCb.html,yes
https://www.olx.pl/d/oferta/dwupokojowe-mieszkanie-na-targowku-CID3-ID16tcHu.html,yes
https://www.olx.pl/d/oferta/do-wynajecia-mieszkanie-2-pok-57m-z-klimatyzacja-kabaty-kabacki-dukt-CID3-ID16vn1S.html,yes
https://www.olx.pl/d/oferta/apartament-skandynawski-klimatyzacja-CID3-ID16dvH0.html,yes
https://www.olx.pl/d/oferta/aktualne-mieszkanie-2p-nowodworska-klima-bez-mebli-1-parking-CID3-ID16nNdl.html,yes
https://www.olx.pl/d/oferta/apartament-3-pokoje-umeblowany-mokotow-al-wilanowska-CID3-ID148Z7W.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokojowe-rondo-wiatraczna-CID3-ID16BAi2.html,yes
https://www.olx.pl/d/oferta/nowe-2-pokojowe-37m2-al-solidarnosci-60b-srodmiescie-arsenal-CID3-ID16xr7c.html,yes
https://www.olx.pl/d/oferta/2-pokoje-46m2-mokotow-konstruktorska-balkon-czynsz-w-cenie-CID3-ID16rUSI.html,yes
https://www.olx.pl/d/oferta/bemowo-53m2-3-pokoje-ogrodek-33m2-metro-bemowo-wole-od-sierpnia-CID3-ID16sISm.html,yes
https://www.olx.pl/d/oferta/wynajme-piekna-kawalerke-z-osobna-sypialnia-CID3-ID16uFKq.html,yes
https://www.olx.pl/d/oferta/apartament-3-pokoje-z-balkonem-bezposrednio-przyjazne-zwierzetom-CID3-ID16fQOB.html,yes
https://www.olx.pl/d/oferta/2-pokoje-z-balkonem-sikorskiego-9b-mokotow-CID3-ID16quqd.html,yes
https://www.olx.pl/d/oferta/rezerwacja-wynajme-3-pokojowe-mieszkanie-w-ursusie-CID3-ID16xtTP.html,yes
https://www.olx.pl/d/oferta/nowe-2-pok-miejsce-postojowe-z-ladowarka-elektryczna-CID3-ID16xQOG.html,yes
https://www.olx.pl/d/oferta/nowo-wyremontowane-mieszkanie-na-pradze-poludnie-CID3-ID16qvXp.html,yes
