Link,Furnishing
https://www.olx.pl/d/oferta/mieszkanie-miedzyborska-50-m2-na-krotko-lub-dluzej-CID3-ID16mu8g.html,yes
https://www.olx.pl/d/oferta/2-pokoje-obok-metro-wilanowska-pets-friendly-CID3-ID16zmb0.html,yes
https://www.olx.pl/d/oferta/miszkanie-sygnetowa-12-CID3-ID16ABq2.html,yes
https://www.olx.pl/d/oferta/piekny-apartament-premium-mokotow-sulkowicka-CID3-ID16rOv1.html,yes
https://www.olx.pl/d/oferta/apartament-3-pokoje-z-balkonem-bezposrednio-przyjazne-zwierzetom-CID3-ID16fQOB.html,yes
https://www.olx.pl/d/oferta/studio-z-balkonem-bezposrednio-przyjazne-zwierzetom-CID3-ID16fMYg.html,yes
https://www.olx.pl/d/oferta/bezposrednio-pierwszy-wynajem-nietypowe-mieszkanie-CID3-ID16qrMc.html,yes
https://www.olx.pl/d/oferta/bezposrednio-pierwszy-wynajem-unikalne-mieszkanie-CID3-ID16qs1I.html,yes
https://www.olx.pl/d/oferta/apartament-studio-pierwszy-najem-bezposrednio-przyjazne-zwierzetom-CID3-ID16fKzG.html,yes
https://www.olx.pl/d/oferta/kawalerka-na-bielanach-CID3-ID16v16G.html,yes
https://www.olx.pl/d/oferta/sloneczne-mieszkanie-z-oddechem-a-sunny-apartment-with-a-breath-CID3-ID16pwq8.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/do-wynajecia-kawalerka-krotkie-terminy-rowniez-ID4vYcl.html,yes
https://www.olx.pl/d/oferta/ladna-kawalerka-34-m2-w-kamienicy-na-pradze-polnoc-bezposrednio-CID3-ID16kNTc.html,yes
https://www.olx.pl/d/oferta/wynajme-mieszkanie-ul-swiatowida-warszawa-CID3-ID16BTkn.html,yes
https://www.olx.pl/d/oferta/metro-kabaty-piekne-przestronne-i-ciche-mieszkanie-72m2-bezposrednio-CID3-ID16glaU.html,yes
https://www.olx.pl/d/oferta/kawalerka-srodmiescie-CID3-ID16Aukv.html,yes
https://www.olx.pl/d/oferta/piekne-mieszkanie-na-ursusie-CID3-ID16v2It.html,yes
https://www.olx.pl/d/oferta/kawalerka-przy-galerii-mokotow-CID3-ID16pO93.html,yes
