Link,Furnishing
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-na-sprzedaz-w-ovo-podwale-82-ID4xbGB.html,yes
https://www.olx.pl/d/oferta/kawalerka-mieszkanie-1-pokojowe-wroclaw-zakrzow-CID3-ID13zMe4.html,yes
https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-72-86m-centrum-blisko-pkp-i-pks-CID3-ID16BIAm.html,yes
https://www.olx.pl/d/oferta/2-pokoje-uniwersytet-po-generalnym-remoncie-wyposazone-prywatnie-CID3-ID16rdBz.html,yes
https://www.olx.pl/d/oferta/przytulne-ze-smart-home-70-m2-3-pokoje-balkon-piwnica-16-m2-biskupin-CID3-ID16skGF.html,yes
https://www.olx.pl/d/oferta/ul-bystrzycka-3-pokoje-po-remoncie-CID3-ID16rrm0.html,yes
https://www.olx.pl/d/oferta/bezposrednio-2-pokoje-na-krzykach-CID3-ID16czjE.html,yes
https://www.olx.pl/d/oferta/gotowa-kawalerka-bezposrednio-na-grabiszynskiej-CID3-ID16kneu.html,yes
https://www.olx.pl/d/oferta/2-pokoje-garderoba-balkon-klima-po-generalnym-remoncie-CID3-ID16nn4t.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-z-ogrodem-i-widokiem-na-odre-blisko-centrum-ID4vVXA.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/centrum-apartament-2-pokojowy-balkon-tramwaj-ID4xczD.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-3-pokoje-krzyki-borek-ID4vqNQ.html,yes
https://www.olx.pl/d/oferta/mieszkanie-2-pokoje-inzynierska-po-remoncie-bardzo-wysoki-standard-CID3-ID14hIpz.html,yes
https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-wysoki-standard-CID3-ID16wmqb.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/unikat-dwupak-lub-3-pokoje-premium-ID4wYUs.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-3m-z-balkonem-parking-kom-lok-zielona-okolica-dzien-otwarty-ID4xhHK.html,yes
https://www.olx.pl/d/oferta/mieszkanie-na-sprzedaz-bezposrednio-wroclaw-centrum-CID3-ID150q7x.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-blisko-rynku-do-odswiezenia-2-pietro-ID4xgzA.html,yes
https://www.olx.plhttps://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-w-spokojnej-okolicy-ul-niemcewicza-ID4xhIS.html,yes
