Link,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller,Refreshed,Date,Negotiations
https://www.olx.pl/d/oferta/kawalerka-35m-centrum-kielce-CID3-ID16wFsa.html,1 600,Kielce,35.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,0,belonging_on_street,False,1,private,True,2025-07-15,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-48m2-2-pokoje-kielce-ul-zagnanska-plaza-CID3-ID16wkSX.html,3 000,Kielce,48.26,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,1,no,False,2,developers,True,2025-07-15,False
https://www.olx.pl/d/oferta/wynajme-3-pokoje-52m2-ul-winnicka-CID3-ID12WlRT.html,2 700,Kielce,51.5,kielce,2025-07-14 00:44:22,wynajem,block,1,True,3,no,True,3,private,True,2025-07-15,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-3-pokoje-blisko-uczelni-CID3-ID16btdS.html,2 200,Kielce,63.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,belonging_on_street,False,3,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/wynajme-nowoczesne-mieszkanie-przy-kazimierza-wielkiego-slichowice-CID3-ID16xYvS.html,2 700,Kielce,51.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,1,no,False,2,private,True,2025-07-15,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokojowe-51-m2-os-kochanowskiego-kielce-CID3-ID15Onq2.html,1 800,Kielce,51.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,belonging_on_street,False,2,private,True,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-m-3-z-wyposazeniem-ID4x9FS.html,1 700,Kielce,45.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,4,no,False,2,developers,False,2025-07-06,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-2-pokoje-32m-ul-lotnicza-centrum-ID4vMUV.html,2 000,Kielce,32.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,5,no,False,2,private,False,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-ul-okrzei-1-pietro-ID4x0TM.html,1 600,Kielce,27.0,kielce,2025-07-14 00:44:22,wynajem,remaining,0,True,1,no,False,1,developers,False,2025-06-26,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wietrzniadwustronneparkingbalkonblisko-centrumfunkcjonalne-ID4xbKZ.html,1 600,Kielce,46.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,0,no,False,2,developers,False,2025-07-08,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-na-osiedlu-slichowice-ul-jurajska-kielce-CID3-ID16v7CT.html,1 500,Kielce,32.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,0,no,False,1,private,False,2025-07-07,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-blisko-politechniki-i-ujk-CID3-ID16opzT.html,1 500,Kielce,38.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,belonging_on_street,False,2,private,True,2025-07-12,False
https://www.olx.pl/d/oferta/nowoczesne-3-pokoje-z-balkonem-i-garazem-osiedle-na-wrzosach-CID3-ID16AAtU.html,2 250,Kielce,61.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,2,garage,False,3,developers,False,2025-07-15,False
https://www.olx.pl/d/oferta/kawalerka-premium-w-centrum-wysoki-standard-CID3-ID13gI4E.html,1 300,Kielce,25.0,kielce,2025-07-14 00:44:22,wynajem,tenement,0,True,0,no,False,2,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/bezczynszowe-mieszkanie-1-pokojowe-25-m2-ksm-kielce-CID3-ID16yTEI.html,2 000,Kielce,25.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,1,garage,False,1,developers,True,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-balkon-parking-zamkniete-osiedle-ID4xbj7.html,2 250,Kielce,54.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,2,no,False,2,developers,False,2025-07-10,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/komfortowe-dwupokojowe-centrum-z-tarasem-ID4x2BW.html,1 700,Kielce,46.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,0,no,False,2,developers,False,2025-06-28,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/piekne-nowe-dwupokojowe-mieszkanie-osiedle-legionow-ID4xdYk.html,2 300,Kielce,45.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,0,no,False,2,private,False,2025-07-10,False
https://www.olx.pl/d/oferta/kawalerka-po-remoncie-ul-wojewodzka-internet-i-tv-w-cenie-CID3-ID15T4iM.html,1 500,Kielce,22.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,no,False,1,private,False,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/do-wynajecia-2-pokoje-bocianek-kielce-ID4x7A9.html,1 600,Kielce,49.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,no,False,2,developers,False,2025-07-03,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/przytulna-kawalerka-do-wynajecia-ID4vnLX.html,1 400,Kielce,30.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,4,no,False,1,developers,False,2025-07-12,False
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-CID3-ID16rOWS.html,1 000,Kielce,26.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,belonging_on_street,False,1,private,False,2025-07-01,False
https://www.olx.pl/d/oferta/do-wynajecia-kielce-ul-okrzei-2-pokoje-53m2-CID3-ID15UMF3.html,2 200,Kielce,53.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,0,no,False,2,private,False,2025-07-07,False
https://www.olx.pl/d/oferta/wynajme-mieszkanie-kielce-kaczmarka-46m-kwadratowych-CID3-ID16Bmer.html,1 800,Kielce,46.0,kielce,2025-07-14 00:44:22,wynajem,block,1,True,10,belonging_on_street,False,2,private,False,2025-07-15,False
https://www.olx.pl/d/oferta/wynajem-mieszkania-kielce-ulica-romualda-CID3-ID16uUep.html,2 600,Kielce,39.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,2,no,False,2,private,False,2025-07-05,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/okazja-ID4vTPv.html,1 800,Kielce,48.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,1,no,False,2,developers,False,2025-06-18,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-z-duzym-balkonem-i-pietro-ul-strasza-os-kochanowskiego-ID4x1nU.html,1 200,Kielce,33.1,kielce,2025-07-14 00:44:22,wynajem,block,0,True,1,no,False,1,developers,False,2025-06-27,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-w-cichej-i-spokojnej-okolicy-na-prywatn-ID4vHOx.html,2 000,Kielce,40.0,kielce,2025-07-14 00:44:22,wynajem,detached_house,0,True,1,no,False,2,developers,False,2025-07-04,False
https://www.olx.pl/d/oferta/wynajme-kawalerke-o-pow-33-m2-CID3-ID16nDmW.html,1 700,Kielce,33.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,2,no,False,1,private,False,2025-06-25,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/ul-turystyczna-kawalerka-w-wysokim-standardzie-na-wynajem-ID4vRqs.html,1 900,Kielce,25.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,0,no,False,1,private,False,2025-06-14,False
https://www.olx.pl/d/oferta/do-wynajecia-mieszkanie-35-m2-kielce-ul-krakowska-CID3-ID16zbk5.html,1 600,Kielce,34.0,kielce,2025-07-14 00:44:22,wynajem,block,1,True,1,no,False,1,developers,True,2025-07-15,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajem-kawalerka-wysoki-standard-centrum-ul-niska-ID4rvDI.html,1 950,Kielce,35.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,1,no,False,1,developers,False,2025-06-27,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-z-garazem-ID4x8VY.html,2 400,Kielce,43.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,4,no,False,2,private,False,2025-07-05,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-na-wynajem-baranowek-45m2-balkon-i-garaz-z-piwnica-ID4vX1o.html,2 700,Kielce,45.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,True,3,no,False,2,private,False,2025-06-22,False
https://www.olx.pl/d/oferta/mieszkanie-3-pokojowe-aleja-solidarnosci-blisko-ps-i-ujk-CID3-ID16sYcV.html,3 200,Kielce,46.0,kielce,2025-07-14 00:44:22,wynajem,block,1,True,5,garage,False,3,private,False,2025-07-03,False
https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-2-pokoje-CID3-ID16jVjC.html,2 600,Kielce,45.0,kielce,2025-07-14 00:44:22,wynajem,apartment,1,True,1,garage,False,2,private,True,2025-07-11,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-mieszkanie-slichowice-ID4x2i3.html,2 250,Kielce,53.0,kielce,2025-07-14 00:44:22,wynajem,block,0,True,0,no,False,2,private,False,2025-06-29,False
https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajmiemy-komfortowe-mieszkanie-ID4vT6h.html,2 500,Kielce,60.0,kielce,2025-07-14 00:44:22,wynajem,apartment,0,False,1,no,False,3,developers,False,2025-06-16,False
