ID,Link,Title,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller
ID16uUep,https://www.olx.pl/d/oferta/wynajem-mieszkania-kielce-ulica-romualda-CID3-ID16uUep.html,Wynajem mieszkania Kielce ulica Romualda,2 600 złdo negocjacji,Kielce - 05 lipca 2025,39 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,yes,yes,2,lack,no,2,private
ID16zbk5,https://www.olx.pl/d/oferta/do-wynajecia-mieszkanie-35-m2-kielce-ul-krakowska-CID3-ID16zbk5.html,Do wynajęcia mieszkanie 35 m2 /Kielce ul.Krakowska,1 600 zł,Kielce - Odświeżono dnia 15 lipca 2025,34 m²,kielce,2025-07-17 01:55:30,wynajem,block,yes,yes,1,,no,1,developers
ID16yOeX,https://www.olx.pl/d/oferta/ul-mickiewicza-dostepne-od-zaraz-film-link-w-opisie-CID3-ID16yOeX.html,"Ul. MICKIEWICZA dostępne  od ZARAZ    FILM, link w opisie !!!",1 750 zł,Kielce - Odświeżono Dzisiaj o 19:34,28 m²,kielce,2025-07-17 01:55:30,wynajem,tenement,no,yes,1,garage,no,1,private
ID16AAtU,https://www.olx.pl/d/oferta/nowoczesne-3-pokoje-z-balkonem-i-garazem-osiedle-na-wrzosach-CID3-ID16AAtU.html,Nowoczesne 3 pokoje z balkonem i garażem | Osiedle na Wrzosach,2 250 zł,Kielce - Odświeżono Dzisiaj o 22:23,61 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,yes,yes,2,garage,no,3,developers
ID16y5Vg,https://www.olx.pl/d/oferta/mieszkanie-obok-politechniki-wspollokator-CID3-ID16y5Vg.html,Mieszkanie obok Politechniki - współlokator,1 100 zł,Kielce - Odświeżono Dzisiaj o 21:36,38 m²,kielce,2025-07-17 01:55:30,wynajem,block,yes,yes,4,belonging_on_street,no,2,private
ID16wFsa,https://www.olx.pl/d/oferta/kawalerka-35m-centrum-kielce-CID3-ID16wFsa.html,Kawalerka 35m Centrum Kielce,1 600 zł,Kielce - Odświeżono Dzisiaj o 10:22,35 m²,kielce,2025-07-17 01:55:30,wynajem,block,no,yes,0,belonging_on_street,,1,private
ID16r3nj,https://www.olx.pl/d/oferta/2-pokojowe-ul-zagorska-media-w-cenie-CID3-ID16r3nj.html,2-pokojowe ul. Zagórska - media w cenie,2 700 zł,Kielce - Odświeżono Dzisiaj o 17:45,45 m²,kielce,2025-07-17 01:55:30,wynajem,block,no,yes,1,,no,2,private
ID16lrWG,https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokojowe-CID3-ID16lrWG.html,WYNAJMĘ mieszkanie 2 pokojowe,2 200 złdo negocjacji,Kielce - Odświeżono Dzisiaj o 16:44,50 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,yes,yes,1,garage,no,2,private
ID16Bmer,https://www.olx.pl/d/oferta/wynajme-mieszkanie-kielce-kaczmarka-46m-kwadratowych-CID3-ID16Bmer.html,Wynajmę mieszkanie Kielce Kaczmarka 46m kwadratowych,1 800 zł,Kielce - Odświeżono Dzisiaj o 20:18,46 m²,kielce,2025-07-17 01:55:30,wynajem,block,yes,yes,10,belonging_on_street,no,2,private
ID4xia5,https://www.olx.plhttps://www.otodom.pl/pl/oferta/nowe-mieszkanie-w-centrum-36m2-ID4xia5.html,Nowe mieszkanie w CENTRUM 36m2,2 200 zł,Kielce - 15 lipca 2025,36 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,,yes,0,,,2,developers
ID4xeWx,https://www.olx.plhttps://www.otodom.pl/pl/oferta/komfortowa-kawalerka-do-wynajecia-w-okolicach-ujk-oraz-politechniki-ID4xeWx.html,"Komfortowa kawalerka do wynajęcia w okolicach UJK, oraz Politechniki",2 000 zł,Kielce - 11 lipca 2025,26 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,,yes,5,,,1,private
ID16wkSX,https://www.olx.pl/d/oferta/wynajme-mieszkanie-48m2-2-pokoje-kielce-ul-zagnanska-plaza-CID3-ID16wkSX.html,"Wynajmę mieszkanie 48m2, 2 pokoje, Kielce ul. Zagnańska, Plaza",3 000 zł,Kielce - Odświeżono Dzisiaj o 21:55,"48,26 m²",kielce,2025-07-17 01:55:30,wynajem,apartment,yes,yes,1,,no,2,developers
ID16wmkk,https://www.olx.pl/d/oferta/wynajme-mieszkanie-38m2-CID3-ID16wmkk.html,Wynajmę mieszkanie 38m2,1 850 zł,Kielce - Odświeżono dnia 12 lipca 2025,"38,50 m²",kielce,2025-07-17 01:55:30,wynajem,block,no,yes,4,lack,yes,2,private
ID11Z11E,https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-CID3-ID11Z11E.html,mieszkanie do wynajęcia,1 250 zł,Kielce - Odświeżono dnia 15 lipca 2025,"26,40 m²",kielce,2025-07-17 01:55:30,wynajem,block,yes,yes,10,belonging_on_street,no,1,developers
ID16Cpvj,https://www.olx.pl/d/oferta/wynajme-mieszkanie-na-szydlowku-ul-bukowa-CID3-ID16Cpvj.html,Wynajmę mieszkanie na Szydlowku ul. Bukowa,1 700 zł,Kielce - 14 lipca 2025,45 m²,kielce,2025-07-17 01:55:30,wynajem,block,no,yes,3,belonging_on_street,no,3,private
ID4xhY3,https://www.olx.plhttps://www.otodom.pl/pl/oferta/atrakcyjne-3-pokojowe-os-slichowice-ul-puscha-ID4xhY3.html,Atrakcyjne 3 pokojowe os. Ślichowice ul. Puscha,1 950 zł,Kielce - 15 lipca 2025,65 m²,kielce,2025-07-17 01:55:30,wynajem,block,,yes,0,,,3,developers
IDQG8DX,https://www.olx.pl/d/oferta/mieszkanie-do-wynajecia-klimatyzacja-wysoki-standard-centrum-CID3-IDQG8DX.html,"Mieszkanie do wynajęcia - klimatyzacja, wysoki standard, centrum",2 550 zł,Kielce - Odświeżono Dzisiaj o 11:40,39 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,yes,yes,4,garage,no,2,private
ID4xgrB,https://www.olx.plhttps://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-na-ksm-wynajme-ID4xgrB.html,Słoneczne 2 pokoje na Ksm - wynajmę,1 600 zł,Kielce - 14 lipca 2025,"46,20 m²",kielce,2025-07-17 01:55:30,wynajem,remaining,,no,9,,,2,developers
ID4x0TM,https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-ul-okrzei-1-pietro-ID4x0TM.html,"Kawalerka po remoncie ul Okrzei, 1 piętro",1 600 zł,Kielce - 26 czerwca 2025,27 m²,kielce,2025-07-17 01:55:30,wynajem,remaining,,yes,1,,,1,developers
ID4xiTv,https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajem-mieszkania-38m-ID4xiTv.html,Wynajem mieszkania  38m,1 150 zł,Kielce - Dzisiaj o 21:26,37 m²,kielce,2025-07-17 01:55:30,wynajem,tenement,,yes,,,,1,private
ID16p559,https://www.olx.pl/d/oferta/mieszkanie-ul-okrzei-duzy-balkon-miejsce-parkingowe-CID3-ID16p559.html,"Mieszkanie, ul Okrzei duzy balkon, miejsce parkingowe",1 550 zł,Kielce - Odświeżono Dzisiaj o 06:34,26 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,no,yes,1,guarded,no,1,private
ID4x7A9,https://www.olx.plhttps://www.otodom.pl/pl/oferta/do-wynajecia-2-pokoje-bocianek-kielce-ID4x7A9.html,Do wynajęcia | 2 pokoje | Bocianek | Kielce,1 600 zł,Kielce - 03 lipca 2025,49 m²,kielce,2025-07-17 01:55:30,wynajem,block,,yes,1,,,2,developers
ID4vT6h,https://www.olx.plhttps://www.otodom.pl/pl/oferta/wynajmiemy-komfortowe-mieszkanie-ID4vT6h.html,Wynajmiemy komfortowe mieszkanie,2 500 zł,Kielce - Dzisiaj o 21:30,60 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,,no,1,,,3,developers
ID4xbj7,https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-balkon-parking-zamkniete-osiedle-ID4xbj7.html,2 pokoje kuchnia  balkon parking zamknięte osiedle,2 250 zł,Kielce - 10 lipca 2025,54 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,,yes,2,,,2,developers
ID4x2BW,https://www.olx.plhttps://www.otodom.pl/pl/oferta/komfortowe-dwupokojowe-centrum-z-tarasem-ID4x2BW.html,Komfortowe dwupokojowe centrum z tarasem,1 700 zł,Kielce - 28 czerwca 2025,46 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,,yes,0,,,2,developers
ID16opzT,https://www.olx.pl/d/oferta/wynajme-mieszkanie-blisko-politechniki-i-ujk-CID3-ID16opzT.html,Wynajmę mieszkanie blisko Politechniki i UJK,1 500 zł,Kielce - Odświeżono dnia 15 lipca 2025,38 m²,kielce,2025-07-17 01:55:30,wynajem,block,,yes,1,belonging_on_street,,2,private
ID16yTEI,https://www.olx.pl/d/oferta/bezczynszowe-mieszkanie-1-pokojowe-25-m2-ksm-kielce-CID3-ID16yTEI.html,Bezczynszowe mieszkanie 1-pokojowe 25 m2 KSM Kielce,2 000 zł,Kielce - Odświeżono dnia 15 lipca 2025,25 m²,kielce,2025-07-17 01:55:30,wynajem,apartment,yes,yes,1,garage,no,1,developers
